Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
3,CS03-11,Texas,USA a la vanguardia TX,VE- Revisión,https://drive.google.com/file/d/1MjE4mLaYz-l6XPEVII5VWl2eC9NBZ6Ya/view?usp=sharing,No funcionó,No,
3,CS03-13,Miami,Top 3 Herramientas Miami,Enviado a MB,"https://drive.google.com/file/d/1kigRFJz-tTDKCygqnWVjEbjrlYY7xSWz/view?usp=sharing ",Trajo Leads,Yes,
3,CS03-16,Florida,USA a la vanguardia MIAMI,Enviado a MB,https://drive.google.com/file/d/1MCS_wt82qWHKJXgbAlkQJef69R0BzsnJ/view?usp=sharing,No funcionó,Yes,
3,CS03-17,Las Vegas,Nuevo Show LV,VE- Revisión,https://drive.google.com/file/d/1dzLGrU1dcXB41NNNpJ1ogNDJoHTL8IA8/view?usp=sharing,Trajo 1 lead,Yes,
3,CS03-10,Las Vegas,Noticias Virales LV,VE- Revisión,https://drive.google.com/file/d/1pYwanMguuA-hxIcun6Kc3hPY6jfKX8GC/view?usp=sharing,No funcionó,Yes,
3,CS03-15,USA,Boveda,VE- Revisión,https://drive.google.com/drive/folders/1eV6YpmzbeaIHntmGJQQn_M-dLlvJSuGQ?usp=sharing,Trajo Leads,No,
3,CS03-18,Florida,Noticias Virales FL,Enviado a MB,https://drive.google.com/file/d/1fTLUyU60bHx2o2uSFZaT8taLJnah8Iw4/view?usp=sharing,No funcionó,Yes,
3,CS03-19,Texas,Noticias Virales TX,Enviado a MB,https://drive.google.com/file/d/1fcEK8YrLbWTRRWE-p8T9IvHszwVehxdq/view?usp=sharing,No funcionó,Yes,
3,CS03-8,Las Vegas,LV Noticias que te harán feliz,VE- Revisión,https://drive.google.com/file/d/1FPGk2sMFTlTHCI_WXr6VavMS1VK5Poy8/view?usp=sharing,No funcionó,No,
3,CS03-21,Las Vegas,3 Noticias Virales LV,VE- Revisión,https://drive.google.com/file/d/1NSgvjluh50UdxyZ611LYYhGdZnEoHGQG/view?usp=sharing,Rechazado,No,
3,CS03-22,Florida,FL a la vanguardia - Solar Messi,VE- Revisión,https://drive.google.com/file/d/1VuA5XGse9ORhCzhu8nyeHIyJEi5RonNX/view?usp=sharing,No funcionó,Yes,
,,,,,,,No,
,,,,,,,No,
3,CS03-23,Florida,Revolución Solar FL,Enviado a MB,https://drive.google.com/file/d/1kW3U4GOfIDhQodMXJoZJamolEW2ZLFMh/view?usp=sharing,No funcionó,Yes,
3,CS03-24,Las Vegas,TOP 3 Carros LV,VE- Revisión,https://drive.google.com/file/d/1DIreG_HTf8Vxkr5_zJysQMr01j7T9n8q/view?usp=sharing,,No,
3,CS03-25,Florida,Solar VOLT,Enviado a MB,https://drive.google.com/file/d/11pSXUnHQ6hky9a1d4r0EKlcevNLqlBgF/view?usp=sharing,Trajo Citas,Yes,
